@relation 'train2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ClassifierSubsetEval -B weka.classifiers.bayes.NaiveBayes -T -H \"Click to set hold out or test instances\" -E DEFAULT-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute best numeric
@attribute fuck numeric
@attribute great numeric
@attribute happy numeric
@attribute ice numeric
@attribute love numeric
@attribute my numeric
@attribute people numeric
@attribute real numeric
@attribute shit numeric
@attribute the numeric
@attribute trump numeric
@attribute sentiment {negative,positive,neutral}

@data
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,3,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,1,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,0,0,0,0,0,0,0,0,3,0,positive
0,1,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,1,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,1,0,0,0,0,0,0,2,0,positive
0,0,0,0,1,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,1,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,1,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,2,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
1,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,1,negative
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,negative
1,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,3,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,1,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,1,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,1,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,1,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,1,0,0,1,0,negative
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,1,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,1,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,1,1,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,3,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,1,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,1,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,2,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,1,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,1,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,1,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,1,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,1,0,2,0,neutral
0,0,0,0,0,0,0,0,1,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,2,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,1,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,1,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,1,0,0,0,0,0,0,1,0,positive
0,0,1,1,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,1,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,1,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,negative
0,0,0,1,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,1,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,1,0,1,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,1,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,1,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,4,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,1,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,1,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
1,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,1,0,1,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
1,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,5,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,negative
0,0,0,0,0,0,0,1,0,0,2,0,negative
0,0,0,1,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,1,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,1,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,1,1,0,1,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,1,0,0,1,2,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,1,0,3,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,4,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,1,0,0,0,0,0,2,0,positive
0,0,0,1,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,1,1,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,1,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,1,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,4,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,1,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,3,0,neutral
0,0,0,0,0,1,0,1,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,1,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,1,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,2,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,1,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,1,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,1,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,1,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,1,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,1,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,2,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,1,0,0,0,1,0,0,2,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,1,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,3,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
1,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,1,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,1,0,0,0,2,0,neutral
0,0,0,0,1,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
1,0,0,0,0,0,0,0,0,0,3,0,neutral
0,0,0,0,0,1,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,1,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,4,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,1,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,1,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,1,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,1,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,2,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,negative
0,0,0,0,1,0,0,0,0,0,0,0,positive
0,0,0,0,0,1,0,1,0,0,1,0,negative
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,0,0,0,0,0,2,0,positive
0,0,0,1,0,0,0,0,0,0,1,0,positive
0,0,0,0,0,0,0,0,0,0,1,1,neutral
0,0,0,0,0,0,0,0,0,0,1,0,neutral
0,0,0,0,0,1,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,neutral
0,0,0,0,0,0,0,0,0,0,0,0,positive
0,0,0,0,0,0,0,0,0,0,0,0,neutral
